foreign_table,rel,primary_table,no,fk_column_name,join,pk_column_name,fk_constraint_name
dbo.Activity,>-,dbo.Event,1,EventId, = ,Id,FKgS1WLliGgJcoCFnTzSA5wsD3fc8
dbo.Activity,>-,dbo.GlbDepartment,1,UsrTAIDepartmentId, = ,Id,FKFTjXTCHaKfH5oSYtAlC0V83gjw4
dbo.Activity,>-,dbo.Invoice,1,InvoiceId, = ,Id,FKhb4tU5kKdTqHuUjJ7twNXVb3wqg
dbo.Activity,>-,dbo.Lead,1,LeadId, = ,Id,FK18Fk0os4234nQmhfgkiCxSku7S0
dbo.Activity,>-,dbo.Opportunity,1,OpportunityId, = ,Id,FK5MgxcNu7xG2qjiT1wcxC2PrRUnc
dbo.Activity,>-,dbo.Order,1,OrderId, = ,Id,FKFpbrLcV9DITd8R9YAZAH50N6NA
dbo.Activity,>-,dbo.Problem,1,ProblemId, = ,Id,FKv9PmCdr5XieGzWYRtonxLcQoFM
dbo.Activity,>-,dbo.Project,1,ProjectId, = ,Id,FKuLEvqEa3Tbi4vqcJ0NtaOBrFDM
dbo.Activity,>-,dbo.Release,1,ReleaseId, = ,Id,FKlrhu8lobBqaygECQKTAr4NEyts
dbo.Activity,>-,dbo.TAICase,1,TAICaseId, = ,Id,FKdw03uLfRxCpwDT9z3OI2Q5r7Dzg
dbo.Activity,>-,dbo.TimeZone,1,TimeZoneId, = ,Id,FKKhYy6jnnqJfWaQaopOfZED1EG5M
dbo.Activity,>-,dbo.UsrComplaint,1,UsrComplaintId, = ,Id,FKJuYmHN9TorHFGRllzqfbwHV1hU
dbo.ActivityAttachment,>-,dbo.Activity,1,ActivityId, = ,Id,FKzY2mKeLp96fgRn6vcGjnn3MG5bo
dbo.ActivityAttachment,>-,dbo.KnowledgeBaseFile,1,KnowledgeBaseFileId, = ,Id,FKRaO2JO4z7m3pgJ9skHBPqShZ4
dbo.ActivityCategory,>-,dbo.ActivityType,1,ActivityTypeId, = ,Id,FKWUREO2dzEL4aSRWB2Ook8OIpw
dbo.ActivityCategoryResultEntry,>-,dbo.ActivityCategory,1,ActivityCategoryId, = ,Id,FKibRC4qZiivj3KiwUULcljq90hvw
dbo.ActivityCategoryResultEntry,>-,dbo.ActivityResult,1,ActivityResultId, = ,Id,FKG4ZyUgrL1OR8SJQjDoPSyGYagU
dbo.ActivityCorrespondence,>-,dbo.Activity,1,ActivityId, = ,Id,FKActivityIdSetNull
dbo.ActivityFile,>-,dbo.Activity,1,ActivityId, = ,Id,FKmXDYuSBgTlbi35P58nKrUzegY
dbo.ActivityFile,>-,dbo.Contact,1,LockedById, = ,Id,FKHvcOiJ4JQq7JpvGljTJ2BzdSXfc
dbo.ActivityFile,>-,dbo.FileType,1,TypeId, = ,Id,FKFeU5xeqbUbHjZSsBQqoMcmKxs3U
dbo.ActivityFolder,>-,dbo.ActivityFolder,1,ParentId, = ,Id,FKWwQ6TKT2xFQ6OplI8qmCaOk
dbo.ActivityFolder,>-,dbo.FolderType,1,FolderTypeId, = ,Id,FKQhI1g3FjRd1ZRcLcNwNxWMvLvs
dbo.ActivityInFolder,>-,dbo.Activity,1,ActivityId, = ,Id,FKLTflN8ZWQpz3cHuXsa6YsX8JZFg
dbo.ActivityInFolder,>-,dbo.ActivityFolder,1,FolderId, = ,Id,FKECHDDj81FBHimJON8VaWAUuzRE
dbo.ActivityInTag,>-,dbo.Activity,1,EntityId, = ,Id,FKo2Bnmwb8U614tnIFrkZCSekhc
dbo.ActivityInTag,>-,dbo.ActivityTag,1,TagId, = ,Id,FKIsVsR1vAX6fQAZsDR02JvXobgM
dbo.ActivityParticipant,>-,dbo.Activity,1,ActivityId, = ,Id,FKD6tkAlhVane0TcaXstRcwKtxVg
dbo.ActivityParticipant,>-,dbo.ActivityParticipantRole,1,RoleId, = ,Id,FKGUFrZkorZSQM3HdddqW6dJyxdw
dbo.ActivityParticipant,>-,dbo.Contact,1,ParticipantId, = ,Id,FKk22zL1lZppe2rfVrXZb26VvnJkQ
dbo.ActivityParticipant,>-,dbo.ParticipantResponse,1,InviteResponseId, = ,Id,FK0PdT6AfRdq9CqpkeA5y2jZJUQ
dbo.ActivityResult,>-,dbo.ActivityResultCategory,1,CategoryId, = ,Id,FKBUnUFtbxlCtZmvnhPjXASWQlE
dbo.ActivitySKU,>-,dbo.Activity,1,ActivityId, = ,Id,FKF6sdkfd0Yv3rbve40lLWRCIZ10
dbo.ActivitySKU,>-,dbo.Product,1,ProductId, = ,Id,FKI9mOVBYp2S3oj2VsgxV97KmU
dbo.ActivitySyncSettings,>-,dbo.MailboxSyncSettings,1,MailboxSyncSettingsId, = ,Id,FKM5bUSnJnqmY8nk2MxQVK8tlxtg
dbo.ActivitySyncSettings,>-,dbo.MailSyncPeriod,1,ActivitySyncPeriodId, = ,Id,FKIVxhwxKN5ibTSvoKKJY43dHJy64
dbo.ActivityTag,>-,dbo.TagType,1,TypeId, = ,Id,FKdYU50KhGgbx6EUUk3078FyLRZqE
dbo.ActivityTypeStatusEntry,>-,dbo.ActivityStatus,1,ActivityStatusId, = ,Id,FKytWMiDTkE7NSGR393HOndtnzvw
dbo.ActivityTypeStatusEntry,>-,dbo.ActivityType,1,ActivityTypeId, = ,Id,FKeLcZbn8w2SVjKdtYdezIHOnWNE
dbo.AdminUnitFeatureState,>-,dbo.Feature,1,FeatureId, = ,Id,FKWBuMvKLIeg7o4zPh2rPdLAW6c
dbo.AdminUnitFeatureState,>-,dbo.SysAdminUnit,1,SysAdminUnitId, = ,Id,FKr7jaXiUQgZbx91kwQbOXG8T9pHA
dbo.Attribute,>-,dbo.SysSchema,1,OwnerSchemaId, = ,Id,FKyX5qi0XAWgZDYEx4qQK8NnJxU
dbo.Attribute,>-,dbo.SysSchema,1,ReferenceSchemaId, = ,Id,FK1Eok9Jiq1hcmkKJecAWeEkbzLg
dbo.AttributeInSiteEvent,>-,dbo.Product,1,ProductValueId, = ,Id,FK9sWpWdo522Xb9XafGUQ1RP25lk
dbo.AttributeInSiteEvent,>-,dbo.ProductCategory,1,ProductCategoryValueId, = ,Id,FKhs15GMeBkeQqmOajTUjJrl6aQ
dbo.AttributeInSiteEvent,>-,dbo.ProductType,1,ProductTypeValueId, = ,Id,FKiIvO9jyyyPUuXJOyPdG3aTvWOQ
dbo.AttributeInSiteEvent,>-,dbo.SiteEvent,1,SiteEventId, = ,Id,FKUQkkcvQ845fKwXgHV23Xxst9BA
dbo.AttributeInSiteEvent,>-,dbo.SiteEventAttribute,1,SiteEventAttributeId, = ,Id,FKuvbd9px7ArV8ZM1xATQPM8k53S8
dbo.AttributeInSiteEvent,>-,dbo.SiteEventAttrListItem,1,ListItemValueId, = ,Id,FKZM3ECafWtUxlY6bXKYDR2W6w4GE
dbo.AttributeInSiteEvent,>-,dbo.TradeMark,1,ProductTradeMarkValueId, = ,Id,FKhKNXJNBjzb8xI6kxfry7MWWnSJw
dbo.AttributeReferenceSchema,>-,dbo.Attribute,1,AttributeId, = ,Id,FKVWkb9zNeLvKsWMUBZDdMYbhlFPo
dbo.AttributeReferenceSchema,>-,dbo.SysSchema,1,ReferenceSchemaId, = ,Id,FKfRnAB5nQ9pi78UhLTA19DDYqRRM
dbo.AttributeValue,>-,dbo.Attribute,1,AttributeId, = ,Id,FKsjfAZtWDuXHIpvSUcrk2pSKSiw
dbo.Blacklist,>-,dbo.JunkFilterTypeOfField,1,TypeOfFieldId, = ,Id,FKWccIFxul9GbxTr9q659bZ3Uwcc
dbo.BulkEmail,>-,dbo.BulkEmailAudienceSchema,1,AudienceSchemaId, = ,Id,FK3hR6Aa22z6yjlMZ4Yf3g3L2A7o
dbo.BulkEmail,>-,dbo.BulkEmailCategory,1,CategoryId, = ,Id,FKB3xXo1UIAHwmOL5E43zFQmhxvW8
dbo.BulkEmail,>-,dbo.BulkEmailLaunchOption,1,LaunchOptionId, = ,Id,FKy6ouX3AnioEtpOOY5bdn4vuc
dbo.BulkEmail,>-,dbo.BulkEmailSplit,1,SplitTestId, = ,Id,FKdyzO5GGMGThS9D4nflCwzZRWIAw
dbo.BulkEmail,>-,dbo.BulkEmailStatus,1,StatusId, = ,Id,FKDO9f20AShJ1rfMtmSprkEi2yuM4
dbo.BulkEmail,>-,dbo.BulkEmailType,1,TypeId, = ,Id,FKxkiUjiGEFXSzuiTTTo62q8Sj7wI
dbo.BulkEmail,>-,dbo.Campaign,1,CampaignId, = ,Id,FKaHHL8yGHJBzH5E61XDxnrI02GHQ
dbo.BulkEmail,>-,dbo.Contact,1,OwnerId, = ,Id,FKKfIi4sJJGiP8XmFRlXtnkNbvO90
dbo.BulkEmail,>-,dbo.SegmentStatus,1,SegmentsStatusId, = ,Id,FK77zkAH4aWtr4mE6EJkQPCRdic7M
dbo.BulkEmailAudienceSchema,>-,dbo.SysImage,1,ImageId, = ,Id,FKOaebpiJrf5IonpfL5MfgWnQmQ2o
dbo.BulkEmailCountLimit,>-,dbo.BulkEmailCategory,1,EmailCategoryId, = ,Id,FKepnZpQJktccPgCBTOKjyFvrKBK8
dbo.BulkEmailCountLimit,>-,dbo.BulkEmailResponse,1,OverlimitResponseId, = ,Id,FKBHZJNT0MIJ2JEutVsQTY6H7vBM
dbo.BulkEmailCountLimit,>-,dbo.BulkEmailType,1,EmailTypeId, = ,Id,FK9Si1n6VzoERqw8tgcQ2IeBRbRk
dbo.BulkEmailEventLog,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKV8OlFvq1SRNIukAC72OHss68jk
dbo.BulkEmailEventLog,>-,dbo.BulkEmailEventResult,1,ResultId, = ,Id,FK8lmsEbxz8GWYS1crHWzXBC9hM
dbo.BulkEmailFile,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FK579ZcpdgjNCiQhyHSJQ0pQfO3Zo
dbo.BulkEmailFile,>-,dbo.Contact,1,LockedById, = ,Id,FK158PQoAh9RLw4hpB2a3k2mqZf4o
dbo.BulkEmailFile,>-,dbo.FileType,1,TypeId, = ,Id,FKqmVo5KzBXQOTJ8lYKA3AhAlktLI
dbo.BulkEmailFolder,>-,dbo.BulkEmailFolder,1,ParentId, = ,Id,FKaG6np0dRsXnYJ3l60RZBPkkje6s
dbo.BulkEmailFolder,>-,dbo.FolderType,1,FolderTypeId, = ,Id,FKqdFKlQdqFTSXHRQFmctK2gF9YTw
dbo.BulkEmailHyperlink,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FK6QgAMj64sw9XN9f7GIFy0bpWbI
dbo.BulkEmailInBulkEmailSplit,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKQE6RFdsMzmFK2jVoUNWgvTqVZRE
dbo.BulkEmailInBulkEmailSplit,>-,dbo.BulkEmailSplit,1,BulkEmailSplitId, = ,Id,FKpksYh3A8A712p6asMtk0LNAAuQY
dbo.BulkEmailInFolder,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKmSPDkZy5R6F8cRmBwoDngMxrshE
dbo.BulkEmailInFolder,>-,dbo.BulkEmailFolder,1,FolderId, = ,Id,FKJXm6XLnWSnltmYPNaLBuN7yeas
dbo.BulkEmailInTag,>-,dbo.BulkEmail,1,EntityId, = ,Id,FKLOZm6sRKoIolLI8W6MRadPjhnA
dbo.BulkEmailInTag,>-,dbo.BulkEmailTag,1,TagId, = ,Id,FKmcnkm2S2LH9fNX7Qwy8xwYPkvGo
dbo.BulkEmailLaunchOption,>-,dbo.BulkEmailCategory,1,CategoryId, = ,Id,FK31uaEj5oPyEvNoyoOFyEqIRvSYU
dbo.BulkEmailQueue,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKFHg28Am9tmp6nrkYBJ1sOnjCo4
dbo.BulkEmailQueueOp,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKZ4vqpwrwtQ4EbVJJWddhTMLlEuE
dbo.BulkEmailRecipientMacro,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKsYTfvFsZZSOemBfhn5ifBGXknQI
dbo.BulkEmailRecipientMacro,>-,dbo.Contact,1,ContactId, = ,Id,FKZ9WUbDG08iYveihTrHOY1pgMAkg
dbo.BulkEmailRecipientReplica,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKyzNDeMudE6ofeU3vlGh6VRpKpY
dbo.BulkEmailRecipientReplica,>-,dbo.DCReplica,1,DCReplicaId, = ,Id,FKq5sKMv6pYHCBb93s8SojQqHVs
dbo.BulkEmailReplicaHeaders,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKJl0SMy8WPUT8taRpE3wp4BJlsnA
dbo.BulkEmailReplicaHeaders,>-,dbo.DCReplica,1,DCReplicaId, = ,Id,FKdktu76bohkDe5NIRPCZvgfNz3M
dbo.BulkEmailSegment,>-,dbo.BulkEmail,1,BulkEmailId, = ,Id,FKd0EaDZGWgqHSNNyiepetqicR0pw
dbo.BulkEmailSegment,>-,dbo.ContactFolder,1,SegmentId, = ,Id,FKCYbosfsTwpMP7WmroLYPuuOMW0
dbo.BulkEmailSegment,>-,dbo.SegmentStatus,1,StateId, = ,Id,FKcKyEzemwfxmWq7Hkzd3ffOLL7rw
dbo.BulkEmailSplit,>-,dbo.BulkEmailSplitStatus,1,StatusId, = ,Id,FKPWMVK9psw9PC4KB8Ti64j9XIFck
dbo.BulkEmailSplit,>-,dbo.Contact,1,OwnerId, = ,Id,FKhzsdTGWYdqbA3j2nMkS1PEg
dbo.BulkEmailSplit,>-,dbo.SegmentStatus,1,SegmentsStatusId, = ,Id,FKOu8qeAaBggtRZ5k1TqN0if18tk
dbo.BulkEmailSplitFile,>-,dbo.BulkEmailSplit,1,BulkEmailSplitId, = ,Id,FKV88MXlzszG2hKWjGL0zzheqls
dbo.BulkEmailSplitFile,>-,dbo.Contact,1,LockedById, = ,Id,FKwuhzXI0Z8mueYPr0XQFwl0vNI
dbo.BulkEmailSplitFile,>-,dbo.FileType,1,TypeId, = ,Id,FK2MmXQOracdJkwF65NjFjM9EF1g
dbo.BulkEmailSplitFolder,>-,dbo.BulkEmailSplitFolder,1,ParentId, = ,Id,FK6DwNEf6jK7HmX3NThj1kyeXNAuw
dbo.BulkEmailSplitFolder,>-,dbo.FolderType,1,FolderTypeId, = ,Id,FKrK8GkE0zgbBUXrLm8bDmCLqA4o
dbo.BulkEmailSplitInFolder,>-,dbo.BulkEmailSplit,1,BulkEmailSplitId, = ,Id,FKbepK6LG0E5DBSNIIAJNwqZgDA
dbo.BulkEmailSplitInFolder,>-,dbo.BulkEmailSplitFolder,1,FolderId, = ,Id,FKJ2EZKjiyUD6dhZXTAdznA15yHU
dbo.BulkEmailSplitSegment,>-,dbo.BulkEmailSplit,1,BulkEmailSplitId, = ,Id,FKwsXwHNotR5aY55Xgetv9NwUaJM
dbo.BulkEmailSplitSegment,>-,dbo.ContactFolder,1,SegmentId, = ,Id,FKt94boGIKEHbswdbKvgDapq46S1U
dbo.BulkEmailSplitSegment,>-,dbo.SegmentStatus,1,StateId, = ,Id,FKsaQk2ShglNG6cs6NYKYz1jIjLQ
